time,seconds_elapsed,z,y,x
1772959465923597300,1.022597412109375,9.696913719177246,2.5567309856414795,0.17946170270442963
1772959465942190800,1.04119091796875,9.531808853149414,2.5387847423553467,0.08374879509210587
1772959465960784400,1.059784423828125,9.369096755981445,2.4155545234680176,-0.08614161610603333
1772959465979378000,1.0783779296875,9.365508079528809,2.2444677352905273,-0.2548356056213379
1772959465997971500,1.096971435546875,9.433703422546387,2.227717876434326,-0.4366901218891144
1772959466016565000,1.11556494140625,9.468399047851562,2.449054002761841,-0.3529413342475891
1772959466035158500,1.134158447265625,9.330811500549316,2.572284460067749,-0.19381862878799438
1772959466053752000,1.152751953125,9.377471923828125,2.572284460067749,-0.4654040038585663
1772959466072345600,1.171345703125,9.638289451599121,2.3820550441741943,-0.9798609018325806
1772959466090939100,1.189939208984375,9.783055305480957,2.2791635990142822,-1.4225330352783203
1772959466109532700,1.20853271484375,9.724431037902832,2.2959132194519043,-1.5804593563079834
1772959466128126200,1.227126220703125,9.456435203552246,2.2671995162963867,-1.5565310716629028
1772959466146719700,1.2457197265625,9.139386177062988,2.179861545562744,-1.6965112686157227
1772959466165313300,1.264313232421875,9.095118522644043,2.2995026111602783,-1.7934205532073975
1772959466183906800,1.28290673828125,9.087940216064453,2.2911276817321777,-1.9453648328781128
1772959466202500400,1.301500244140625,8.94556713104248,2.2743778228759766,-2.1032910346984863
1772959466221094000,1.320093994140625,8.937192916870117,2.4394826889038086,-2.252842426300049
1772959466239687400,1.3386875,8.812766075134277,2.557927370071411,-2.365305185317993
1772959466258281000,1.357281005859375,8.80798053741455,2.8319056034088135,-2.2683959007263184
1772959466276874500,1.37587451171875,8.900103569030762,3.1477582454681396,-2.093719720840454
1772959466295468000,1.394468017578125,9.011369705200195,3.2997024059295654,-1.7694923877716064
1772959466314061600,1.4130615234375,9.113064765930176,3.208775281906128,-1.3986048698425293
1772959466332655000,1.431655029296875,9.470791816711426,2.9587252140045166,-1.01814603805542
1772959466351248600,1.45024853515625,9.748359680175781,2.7146573066711426,-0.9403793215751648
1772959466369842200,1.46884228515625,9.957731246948242,2.6464617252349854,-0.8099704384803772
1772959466388435700,1.487435791015625,9.839286804199219,2.7278177738189697,-0.44386860728263855
